DATE,FEDFUNDS,IRLTLT01EZM156N,IRLTLT01GBM156N,IRLTLT01USM156N,IRLTLT01JPM156N
1989-02-01,0.026315789473684292,0.02655446776464432,-0.02409638554216864,0.008800880088008833,0.019583333333333508
1989-03-01,0.052350427350427386,0.025431657735816904,0.016460905349794164,0.02071973827699014,0.051695954229669105
1989-04-01,-0.0010152284263958977,-0.005059721300597175,0.030364372469635414,-0.019230769230769162,0.014377307169224807
1989-05-01,-0.0030487804878047697,0.008930804501875667,-0.0009823182711198308,-0.034858387799564294,-0.009002106876077276
1989-06-01,-0.02854230377166167,-0.008056436369645814,0.03736479842674534,-0.06546275395033863,0.009856977193660521
1989-07-01,-0.030430220356768012,-0.0019055155825359327,-0.03791469194312802,-0.03140096618357491,-0.03540669856459322
1989-08-01,-0.027056277056277,-0.004997183216141288,-0.02364532019704435,0.01122194513715713,-0.03115079365079365
1989-09-01,0.0033370411568409697,0.016136304062909668,0.030272452068617728,0.009864364981504226,0.04362072496416136
1989-10-01,-0.019955654101995512,0.01827393359060614,0.023506366307541438,-0.0219780219780219,0.011773940345368938
1989-11-01,-0.03280542986425328,0.02895070172771952,0.009569377990430672,-0.017478152309612915,0.04169899146625311
1989-12-01,-0.011695906432748648,0.008183805715861414,0.0009478672985780978,-0.003811944091486663,0.027741575125674656
1990-01-01,-0.026035502958579704,0.020796499076905173,0.03125,0.04719387755102056,0.16829710144927534
1990-02-01,0.0012150668286754485,0.045003923369887566,0.04040404040404044,0.03166869671132755,0.051015661342843854
1990-03-01,0.004854368932038833,0.012307128794469158,0.09620476610767881,0.01416765053128688,0.01785187370905872
1990-04-01,-0.0024154589371979673,-0.016336647097667134,0.025764895330112836,0.023282887077997527,0.0010146398028698655
1990-05-01,-0.009685230024213065,-0.007209659472333874,-0.02590266875981162,-0.0034129692832763903,-0.05763104546770914
1990-06-01,0.01344743276283622,-0.008299447012291572,-0.04915390813859788,-0.031963470319634646,-0.013368162261831573
1990-07-01,-0.016887816646562026,-0.01298301000345603,0.003389830508474523,-0.001179245283018826,0.054664382494938435
1990-08-01,-0.0024539877300613355,0.03686845267949246,0.026182432432432456,0.03305785123966931,0.12522150029533363
1990-09-01,0.008610086100860892,0.016309357573766503,-0.004115226337448652,0.016000000000000014,0.05406824146981637
1990-10-01,-0.01097560975609757,-0.005082797514278536,-0.02975206611570247,-0.019122609673790758,-0.05378486055776899
1990-11-01,-0.036991368680641123,-0.008105424677317452,-0.03151618398637146,-0.037844036697247674,-0.06842105263157894
1990-12-01,-0.06402048655569781,-0.01131110544898628,-0.046613896218117845,-0.03694874851013119,-0.08841807909604527
1991-01-01,-0.05471956224350194,-0.0018407900670968091,-0.023062730627306238,0.0012376237623761277,-0.0034087387666562607
1991-02-01,-0.09551374819102754,-0.03721564975241831,-0.04343720491029268,-0.02966625463535233,-0.019123134328358216
1991-03-01,-0.02079999999999993,-0.006589217817704607,0.01579466929911133,0.03312101910828025,0.04469805040418451
1991-04-01,-0.03431372549019607,-0.024593878042901918,-0.0097181729834791,-0.008631319358816336,0.007434380215445291
1991-05-01,-0.021996615905245376,-0.013036946251013148,0.01864573110893053,0.003731343283582156,-0.0004518072289156905
1991-06-01,0.02076124567474058,0.006729758149316423,0.019267822736030782,0.026022304832713727,0.014765707397920824
1991-07-01,-0.013559322033898313,0.01709988361335779,-0.02835538752362954,-0.0012077294685990392,-0.00965107646622132
1991-08-01,-0.027491408934707917,-0.0022396964184417945,-0.024319066147859947,-0.044740024183796745,-0.0383808095952024
1991-09-01,-0.03710247349823326,-0.019565366556554276,-0.038883349950149415,-0.03164556962025311,-0.051917680074836214
1991-10-01,-0.044036697247706424,-0.013017266374061531,0.008298755186721962,-0.015686274509803977,-0.03223154086498936
1991-11-01,-0.07677543186180424,0.004700209686078649,0.005144032921810648,-0.014608233731739695,0.007136788445199604
1991-12-01,-0.079002079002079,-0.0026214169766995976,-0.011258955987717423,-0.04447439353099736,-0.035093639277880784
1992-01-01,-0.09029345372460484,-0.028395823013859345,-0.020703933747411973,-0.008462623413258097,-0.04721105088302158
1992-02-01,0.007444168734491052,-0.0067003766360779204,-0.016913319238900604,0.04409672830725464,0.023674068636447165
1992-03-01,-0.01970443349753681,0.003582277155127267,0.04086021505376336,0.027247956403269713,-0.008425959125134552
1992-04-01,-0.06281407035175879,0.004373147413685219,-0.025826446280991733,-0.007957559681697535,0.03236304465738571
1992-05-01,0.024128686327077764,-0.004509981191092249,-0.04347826086956519,-0.012032085561497374,0.005078809106830118
1992-06-01,-0.015706806282722474,0.025647984801194124,0.011086474501108556,-0.017591339648173165,-0.01725039205436496
1992-07-01,-0.13563829787234039,0.021139088484947166,-0.007675438596491113,-0.05785123966942152,-0.04113475177304948
1992-08-01,0.01538461538461533,0.00680746728329229,0.03314917127071815,-0.03654970760233922,-0.05473372781065089
1992-09-01,-0.024242424242424176,-0.007870196210426172,-0.01711229946524062,-0.025796661608497695,-0.01780125195618154
1992-10-01,-0.037267080745341685,0.02021572755665102,-0.05875952121871586,0.026479750778816147,-0.0011949810794662508
1992-11-01,-0.003225806451612967,-0.03356643356643374,-0.05317919075144517,0.04248861911987856,-0.029312063808574096
1992-12-01,-0.055016181229773475,0.005211864835598545,0.01587301587301604,-0.01455604075691419,-0.0041084634346755244
1993-01-01,0.03424657534246589,-0.023165673324742286,-0.0036057692307693845,-0.025110782865583436,-0.025783828382838325
1993-02-01,0.0033112582781456013,-0.030888309439640493,-0.04101326899879365,-0.051515151515151514,-0.06648316747829774
